id;code;solde;solde_avant;description;date_update;active
1;IB Tennessee;53897;9959;protocol Hawaii Direct;2020-01-27;true
2;infomediaries Checking Account;71472;18092;Orchestrator Soap attitude-oriented;2020-01-27;false
3;Route International;57644;91788;overriding Singapore Dollar;2020-01-27;true
4;Toys maximize;5300;23597;incubate;2020-01-26;true
5;Intelligent;23837;22286;archive Moldova;2020-01-26;false
6;calculating Towels Ergonomic;27344;14006;synthesizing infrastructures Ouguiya;2020-01-27;true
7;Agent;19610;96028;channels Rapid Paradigm;2020-01-26;true
8;Congolese Franc yellow;67281;8975;copying deposit Rustic;2020-01-27;false
9;Cambridgeshire;40526;16433;virtual EXE;2020-01-27;false
10;Mews Functionality Lead;75403;44696;quantify;2020-01-27;false
