id;code;montant;solde_apres;solde_avant;date_operation;etat
1;Kentucky;29741;7182;9490;2020-01-27;true
2;Chips COM;99553;95136;29433;2020-01-27;false
3;parsing Buckinghamshire orchestrate;40665;46784;18598;2020-01-27;true
4;disintermediate Garden Haiti;73402;99633;99586;2020-01-27;false
5;SQL;27354;60550;11223;2020-01-27;true
6;Automotive;53629;63183;59276;2020-01-26;true
7;Executive back up Cambridgeshire;25904;72941;41434;2020-01-27;true
8;withdrawal navigating scalable;28491;46193;10624;2020-01-27;true
9;digital cross-platform end-to-end;3004;37920;7729;2020-01-26;false
10;Berkshire Pizza;88371;97312;84148;2020-01-26;false
